                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.5367,                 0.8326,                 1.2387,                0.72275,                  0.754,                0.74014,                0.37726,                 1.6541,                 1.8974,                 1.5312,               0.003961,               0.003961,               0.003961
                     63,                 1.5321,                0.82504,                 1.2383,                0.73555,                0.75916,                0.74294,                0.38192,                 1.6252,                 1.7428,                 1.5271,               0.003862,               0.003862,               0.003862
                     64,                 1.5373,                0.83713,                 1.2369,                0.75256,                0.75291,                0.76278,                 0.3988,                 1.5934,                 1.7071,                  1.484,               0.003763,               0.003763,               0.003763
                     65,                  1.534,                0.82799,                 1.2446,                0.73193,                0.76289,                0.73944,                 0.3803,                 1.6138,                 1.7892,                 1.5009,               0.003664,               0.003664,               0.003664
                     66,                 1.5385,                0.83096,                 1.2412,                0.74365,                0.75108,                0.75596,                0.38764,                 1.5864,                 1.8484,                 1.4858,               0.003565,               0.003565,               0.003565
                     67,                 1.5282,                 0.8176,                 1.2336,                0.74804,                0.74084,                 0.7467,                0.39459,                 1.5829,                 1.7298,                 1.4894,               0.003466,               0.003466,               0.003466
                     68,                 1.5234,                0.81972,                 1.2287,                0.74604,                0.74887,                0.75574,                0.39395,                 1.6011,                 1.6885,                 1.5039,               0.003367,               0.003367,               0.003367
                     69,                 1.5057,                  0.811,                  1.223,                0.74944,                0.74342,                0.74206,                0.39032,                 1.5944,                  1.723,                 1.5022,               0.003268,               0.003268,               0.003268
                     70,                 1.5089,                0.80518,                 1.2326,                0.75326,                 0.7687,                0.76065,                0.39455,                 1.5927,                 1.6784,                 1.5003,               0.003169,               0.003169,               0.003169
                     71,                 1.5105,                0.79519,                 1.2331,                0.74378,                0.75287,                0.74278,                 0.3889,                 1.5972,                 1.6292,                 1.4881,                0.00307,                0.00307,                0.00307
                     72,                 1.5165,                0.80379,                 1.2244,                0.73726,                0.75856,                0.75268,                0.39445,                 1.5994,                 1.7156,                 1.5013,               0.002971,               0.002971,               0.002971
                     73,                 1.4876,                0.78498,                 1.2103,                0.73565,                0.76857,                0.75444,                0.39245,                 1.5974,                 1.6389,                 1.4858,               0.002872,               0.002872,               0.002872
                     74,                 1.5033,                0.77049,                 1.2198,                0.74798,                0.75365,                0.75723,                0.39887,                 1.5971,                  1.582,                 1.4838,               0.002773,               0.002773,               0.002773
                     75,                 1.4934,                 0.7713,                 1.2173,                0.74453,                0.74387,                0.75282,                0.39288,                 1.5631,                  1.698,                   1.46,               0.002674,               0.002674,               0.002674
                     76,                 1.4969,                0.78025,                 1.2198,                0.74955,                0.75953,                 0.7524,                0.39561,                 1.5761,                  1.663,                 1.4675,               0.002575,               0.002575,               0.002575
                     77,                 1.4768,                0.77063,                 1.2122,                0.74061,                 0.7654,                0.74885,                 0.3975,                 1.5636,                 1.6495,                 1.4544,               0.002476,               0.002476,               0.002476
                     78,                 1.4851,                0.75904,                 1.2076,                0.75257,                 0.7566,                0.75165,                 0.3926,                 1.5772,                  1.673,                 1.4698,               0.002377,               0.002377,               0.002377
                     79,                 1.4856,                0.76697,                 1.2207,                0.75221,                0.75886,                0.75572,                0.39907,                 1.5783,                 1.6236,                 1.4781,               0.002278,               0.002278,               0.002278
                     80,                 1.4747,                0.75671,                 1.2116,                0.74638,                0.76691,                0.75727,                0.39868,                 1.5625,                 1.5966,                 1.4704,               0.002179,               0.002179,               0.002179
                     81,                 1.4851,                0.75314,                 1.2081,                0.75472,                0.76042,                0.75611,                0.40615,                 1.5566,                 1.6339,                 1.4545,                0.00208,                0.00208,                0.00208
                     82,                 1.4729,                0.73794,                  1.209,                0.74993,                0.76938,                0.75606,                0.39711,                  1.563,                 1.6026,                 1.4629,               0.001981,               0.001981,               0.001981
                     83,                 1.4618,                0.73636,                 1.2078,                0.74288,                0.76876,                0.76862,                0.40496,                 1.5641,                 1.6245,                 1.4677,               0.001882,               0.001882,               0.001882
                     84,                 1.4467,                0.74042,                 1.2066,                 0.7669,                  0.756,                0.76635,                0.40426,                 1.5568,                 1.5599,                  1.458,               0.001783,               0.001783,               0.001783
                     85,                 1.4584,                0.73671,                 1.2009,                0.73982,                0.77225,                0.76217,                0.40296,                 1.5505,                  1.598,                 1.4563,               0.001684,               0.001684,               0.001684
                     86,                 1.4575,                0.73188,                 1.1958,                0.74763,                0.76842,                0.75499,                0.40003,                 1.5442,                 1.5423,                 1.4537,               0.001585,               0.001585,               0.001585
                     87,                 1.4396,                 0.7289,                 1.1973,                0.74045,                0.78701,                0.76301,                0.40095,                 1.5493,                 1.5634,                 1.4584,               0.001486,               0.001486,               0.001486
                     88,                 1.4352,                0.71465,                 1.1884,                0.74239,                0.76951,                0.75459,                0.40268,                 1.5463,                 1.5354,                 1.4656,               0.001387,               0.001387,               0.001387
                     89,                 1.4457,                  0.713,                 1.1912,                 0.7438,                0.76582,                 0.7575,                0.40618,                 1.5495,                 1.5437,                 1.4704,               0.001288,               0.001288,               0.001288
                     90,                 1.4198,                0.70739,                 1.1886,                0.74513,                0.77687,                  0.759,                 0.4038,                 1.5498,                 1.5383,                 1.4622,               0.001189,               0.001189,               0.001189
                     91,                 1.4313,                0.70539,                 1.1907,                0.73622,                0.78194,                0.76003,                0.40554,                 1.5391,                 1.5377,                 1.4448,                0.00109,                0.00109,                0.00109
                     92,                 1.4169,                0.69898,                 1.1893,                0.74217,                0.77322,                0.76321,                0.40672,                 1.5293,                 1.4844,                 1.4374,               0.000991,               0.000991,               0.000991
                     93,                 1.4167,                 0.6929,                 1.1848,                0.74167,                0.77367,                0.76101,                0.40519,                 1.5365,                 1.5012,                 1.4598,               0.000892,               0.000892,               0.000892
                     94,                 1.4124,                0.69343,                  1.184,                0.75155,                 0.7761,                0.76976,                0.40995,                 1.5339,                 1.4912,                 1.4502,               0.000793,               0.000793,               0.000793
                     95,                 1.4021,                0.68411,                 1.1797,                0.75322,                0.77425,                0.76605,                0.41201,                 1.5319,                 1.4866,                 1.4422,               0.000694,               0.000694,               0.000694
                     96,                 1.4097,                0.68759,                 1.1805,                0.74899,                0.76529,                0.76227,                0.41109,                 1.5281,                 1.4857,                 1.4447,               0.000595,               0.000595,               0.000595
                     97,                 1.3883,                0.67634,                  1.174,                0.74597,                0.77355,                0.75652,                0.40769,                 1.5271,                 1.4937,                 1.4402,               0.000496,               0.000496,               0.000496
                     98,                 1.3887,                 0.6668,                 1.1746,                0.74893,                0.77133,                0.76063,                0.41095,                 1.5219,                 1.4503,                 1.4371,               0.000397,               0.000397,               0.000397
                     99,                 1.3948,                0.66728,                  1.176,                0.75272,                0.77978,                0.76153,                0.41142,                 1.5243,                 1.4494,                 1.4392,               0.000298,               0.000298,               0.000298
